Cliente_ID,Edad,Genero,Saldo,Activo,Nivel_de_Satisfaccion
1,24,No especificado,72699.44,True,4
2,52,Femenino,15084.72,True,2
3,44,Femenino,44786.12,False,5
4,27,No especificado,94585.26,False,2
5,56,Masculino,81708.46,False,5
6,56,Masculino,71631.92,False,1
7,51,Femenino,72153.11,True,3
8,50,Masculino,26272.54,False,2
9,71,Femenino,97448.72,True,3
10,75,Femenino,27869.11,False,4
11,31,Masculino,1706.24,True,1
12,49,Masculino,50743.77144888889,True,2
13,42,Masculino,88074.14,True,1
14,49,Masculino,31728.58,True,2
15,40,Masculino,15484.29,False,5
16,77,Femenino,71185.73,True,4
17,79,Femenino,92471.14,True,3
18,77,Masculino,99907.54,True,4
19,28,No especificado,50743.77144888889,False,2
20,73,Masculino,74288.86,True,4
21,25,Femenino,88998.29,False,2
22,49,Masculino,55490.97,False,2
23,54,Masculino,84468.13,False,1
24,49,Femenino,6974.15,False,5
25,34,Femenino,82431.69,True,3
26,21,Masculino,15686.61,False,5
27,20,Masculino,98057.89,False,4
28,42,Femenino,44454.65,False,4
29,35,Masculino,32649.18,True,3
30,26,Femenino,86693.34,True,2
31,72,Masculino,93618.71,True,5
32,32,No especificado,92280.0,False,2
33,62,Masculino,50743.77144888889,True,1
34,23,No especificado,52574.57,False,4
35,34,Masculino,58986.58,True,1
36,61,Femenino,98989.9,True,3
37,50,Femenino,19013.48,True,1
38,59,Femenino,17205.29,False,3
39,49,Femenino,40417.18,True,5
40,49,Femenino,9479.72,False,2
41,49,Masculino,66987.21,True,1
42,49,Masculino,28033.56,False,3
43,73,Masculino,8984.92,False,1
44,49,Masculino,49370.33,False,4
45,61,Femenino,57953.87,True,1
46,32,Masculino,23965.39,False,2
47,38,Femenino,48297.29,True,1
48,73,Femenino,30303.55,True,2
49,49,Masculino,17491.49,False,4
50,66,Femenino,43284.87,False,3
51,54,Masculino,48539.04,False,2
52,76,No especificado,14261.97,True,2
53,20,Masculino,14704.13,False,4
54,35,Femenino,20926.58,True,5
55,18,Masculino,88246.47,False,3
56,57,Masculino,50219.09,False,1
57,58,Masculino,40346.62,False,4
58,49,Femenino,73337.36,True,1
59,72,Femenino,59079.67,True,2
60,35,Masculino,26268.94,True,5
61,46,Masculino,65800.76,True,1
62,74,Masculino,90968.89,True,3
63,51,Femenino,86439.98,True,1
64,49,Masculino,67514.2,False,3
65,38,Femenino,86882.59,False,3
66,73,Masculino,20792.41,True,5
67,48,Femenino,30658.52,False,3
68,79,Femenino,97218.83,False,1
69,65,Masculino,54089.79,False,2
70,49,Femenino,7616.27,False,3
71,67,Masculino,1256.86,False,5
72,60,Masculino,66551.89,True,4
73,30,No especificado,73109.73,False,1
74,41,No especificado,50743.77144888889,True,5
75,49,Masculino,50743.77144888889,False,3
76,45,Femenino,83659.53,False,3
77,18,Masculino,32666.21,False,1
78,72,Masculino,28529.04,False,2
79,26,Femenino,8642.47,True,2
80,71,Femenino,50743.77144888889,True,1
81,71,No especificado,99110.56,False,5
82,49,Femenino,93511.45,False,1
83,56,Femenino,13803.59,False,3
84,19,Masculino,94556.81,False,2
85,40,Masculino,67250.08,False,5
86,22,Masculino,64784.44,False,3
87,76,Masculino,30911.74,True,1
88,75,Masculino,93387.14,False,1
89,72,Masculino,50743.77144888889,True,4
90,49,No especificado,12235.55,True,2
91,49,Masculino,30929.62,False,4
92,49,Femenino,91121.79,True,5
93,61,Masculino,62433.75,True,3
94,74,Masculino,40249.59,False,3
95,40,Femenino,79816.68,True,2
96,55,Femenino,99241.93,False,5
97,50,Masculino,70650.55,False,3
98,72,Femenino,51392.31,True,1
99,19,Masculino,50743.77144888889,False,3
100,61,No especificado,12489.27,False,3
101,27,Masculino,5960.44,False,2
102,79,Masculino,77718.6,False,1
103,52,Femenino,95459.63,True,2
104,70,Masculino,27154.59,False,1
105,60,Femenino,86617.11,False,3
106,66,Masculino,69090.83,False,1
107,40,Femenino,69807.03,False,4
108,57,Femenino,80299.73,False,4
109,49,No especificado,26756.71,False,3
110,33,Masculino,7473.87,True,4
111,25,Masculino,97077.8,False,5
112,31,Masculino,35106.08,True,2
113,51,Masculino,97419.71,True,1
114,58,Femenino,21473.47,True,2
115,69,Masculino,69460.07,False,5
116,67,Masculino,36598.51,True,2
117,74,Femenino,49708.42,False,1
118,49,Masculino,94023.88,False,1
119,79,Masculino,23006.2,True,1
120,40,Femenino,99672.39,True,3
121,19,Femenino,57432.09,False,3
122,25,Masculino,50743.77144888889,True,5
123,58,Masculino,96191.64,False,3
124,40,Masculino,95866.53,False,4
125,19,Masculino,71464.51,True,5
126,54,No especificado,50743.77144888889,False,5
127,49,Masculino,33906.9,False,1
128,41,Masculino,6920.98,True,5
129,25,Masculino,27859.84,True,2
130,21,Masculino,65875.6,False,5
131,22,Masculino,72972.69,True,1
132,66,Femenino,59342.16,True,2
133,33,Masculino,33788.52,True,1
134,59,No especificado,50743.77144888889,False,3
135,71,Femenino,12027.73,True,1
136,50,Femenino,29632.21,True,4
137,63,Femenino,86592.25,True,3
138,72,Femenino,50743.77144888889,False,1
139,61,Masculino,77724.16,False,1
140,27,Femenino,75882.58,False,3
141,74,Femenino,57052.09,False,5
142,24,Masculino,50743.77144888889,False,2
143,73,Masculino,3514.43,False,1
144,57,Femenino,37196.61,False,4
145,77,Masculino,25187.57,False,5
146,34,Femenino,39966.88,False,3
147,48,Masculino,79881.44,False,5
148,55,Femenino,43296.33,False,4
149,31,No especificado,5389.94,False,1
150,47,Femenino,50822.73,False,5
151,59,Masculino,25845.98,True,5
152,54,Femenino,49660.2,False,1
153,37,Masculino,93551.44,True,4
154,62,Femenino,97406.58,False,2
155,23,Femenino,80966.46,True,4
156,72,Femenino,66679.64,False,1
157,57,Femenino,90434.13,True,1
158,28,Femenino,98132.04,True,3
159,76,Femenino,93569.03,False,1
160,43,No especificado,89122.61,True,1
161,55,Masculino,69035.73,False,3
162,52,Femenino,13022.55,False,4
163,52,Masculino,48582.01,True,1
164,74,Femenino,87551.09,True,3
165,26,Masculino,19638.56,False,3
166,45,Masculino,29724.8,True,2
167,32,Femenino,48801.94,False,2
168,60,Masculino,86681.41,False,2
169,34,Masculino,33328.44,False,4
170,68,Femenino,47591.99,False,2
171,49,Femenino,50743.77144888889,False,3
172,65,No especificado,59292.91,True,2
173,19,Femenino,36884.45,False,1
174,49,Femenino,13338.88,False,3
175,45,Femenino,20533.26,True,5
176,49,Femenino,80321.58,True,2
177,58,Femenino,28111.2,True,2
178,67,Masculino,50743.77144888889,True,2
179,32,Masculino,33534.89,False,4
180,32,Femenino,78965.49,True,3
181,38,Masculino,1597.09,True,1
182,21,Femenino,24120.22,True,3
183,18,Femenino,64106.86,False,2
184,39,Masculino,26316.52,False,1
185,50,Masculino,6182.86,False,1
186,36,No especificado,38603.19,False,3
187,33,Femenino,37305.7,False,1
188,61,No especificado,50743.77144888889,True,1
189,49,Femenino,84254.5,True,4
190,27,Femenino,28424.67,True,5
191,24,Masculino,66564.53,False,1
192,21,Femenino,33218.83,True,2
193,78,Masculino,69922.12,True,4
194,34,Masculino,5659.2,False,5
